auc,init_stdev,l2_reg,l2_reg_V,l2_reg_w,n_iter,random_state,rank,step_size
0.554565,0.0014157,,0.000173,0.0001146,2358,123,127,0.0364442
0.554555,0.1589702,,1.63e-05,0.0002588,2848,123,13,0.0164818
0.554482,0.0010077,,0.0560053,0.0002098,3884,123,31,0.105754
0.55439,0.0010236,,0.0024243,0.0016736,6832,123,560,0.02228
0.554258,0.0019269,,0.00707,0.0002341,4476,123,204,0.1005286
0.554256,0.0173126,,0.0008364,0.2854164,7781,123,22,0.0312412
0.554233,0.0013092,,0.0352047,0.0003939,1875,123,66,0.1031539
0.554226,0.0014407,,0.0268676,0.0002477,932,123,310,0.138189
0.554165,0.067401,,2.2165688,0.000253,975,123,345,0.0660376
0.554156,0.0371624,,0.001704,0.0003221,3009,123,30,0.0153141
0.554153,0.001257,,0.0334864,0.0001233,1953,123,54,0.0837189
0.554151,0.0165172,,0.0424199,1.02e-05,8554,123,113,0.0114048
0.554149,0.0098041,,2.66e-05,2.11e-05,7128,123,2,0.0142166
0.554028,0.0023545,,0.0029603,0.0001225,2697,123,171,0.0282814
0.554022,0.0783067,,1.4258253,0.0010632,8419,123,92,0.0103798
0.554015,0.0050615,,0.011335,0.0009655,2396,123,210,0.0247721
0.554006,0.0016527,,0.0016711,2.27e-05,2066,123,114,0.1924974
0.553954,0.0263594,,0.0007417,0.0015445,784,123,82,0.0959203
0.553922,0.1482647,,0.1468579,0.0520132,2882,123,40,0.0334083
0.553902,0.1866696,,0.0046746,0.0007821,5061,123,10,0.0136141
0.55382,0.0018101,,8.84e-05,0.0036133,4650,123,409,0.2334887
0.553809,0.0124799,,1.01e-05,0.0020431,3293,123,13,0.0154364
0.553678,0.0507315,,0.1524272,1.13e-05,4722,123,5,0.2371799
0.553636,0.0041377,,0.0097654,0.0004108,4438,123,66,0.0779865
0.553508,0.0594932,,0.0003467,0.0031079,6435,123,16,0.0226101
0.553448,0.0011442,,3.47e-05,3.37e-05,1859,123,121,0.0982912
0.553365,0.104201,,0.0001084,0.1051342,4661,123,18,0.0159112
0.553291,0.0028042,,0.0037512,1.12e-05,1873,123,70,0.1225673
0.553186,0.0934356,,0.6894667,1.03e-05,3775,123,60,0.015556
0.553082,0.0049475,,0.0002557,5.15e-05,4719,123,266,0.2019404
0.553054,0.0014104,,4.55e-05,0.0001123,649,123,82,0.1051332
0.55297,0.0820429,,0.0008236,0.0006536,7249,123,28,0.0202496
0.552968,0.0351701,,6.79e-05,0.0025267,3545,123,33,0.0100709
0.552818,0.0135057,,178.5363963,0.5679721,2970,123,2,0.0110153
0.55275,0.0124274,,0.0001579,0.1276327,2749,123,8,0.0252818
0.55272,0.0280942,,0.0012814,4.58e-05,2756,123,41,0.0179544
0.552697,0.001945,,0.0001614,0.0023826,3597,123,125,0.1299465
0.552588,0.1376413,,0.0153402,0.0101661,2722,123,90,0.0355741
0.55254,0.0013259,,0.000134,7.14e-05,2675,123,128,0.119287
0.552322,0.0555885,,0.0319545,0.0005676,8540,123,10,0.0380922
0.552284,0.1078296,,7.19e-05,0.000547,2517,123,35,0.0175923
0.552194,0.185942,,0.0003136,0.0034374,4031,123,8,0.0145627
